id	word	other-1	other-2	other-3	pos	morphology	number	code	definitions
1	A				N	9 8 M N		X X X C G	Aulus (Roman praenomen); (abb. A./Au.); [Absolvo, Antiquo => free, reject];
2	a				N	9 8 M T		X X X D G	year; abb. ann./a.; [regnavit a(nnis). XLIIII => he reigned for 44 years];
3	a				PREP	ABL		X X X A O	by (agent), from (departure, cause, remote origin/time); after (reference);
4	a				PREP	ACC		X X X C O	ante, abb. a.; [in calendar expression a. d. = ante diem => before the day];
5	a				INTERJ			X X X B O	Ah!; (distress/regret/pity, appeal/entreaty, surprise/joy, objection/contempt);
6	ab				PREP	ABL		X X X A O	by (agent), from (departure, cause, remote origin/time); after (reference);
7	abac	abac			N	2 1 M T		E E X C E	small table for cruets, credence, shelf/niche near altar for Eucharist; buffet;
8	abac	abac			N	2 1 M T		X X X C O	|counting-board; side-board; slab table; panel; square stone on top of column;
9	abact	abact			N	4 1 M T		X A X E O	cattle thieving, stealing of cattle, rustling;
10	abact	abact			ADJ	1 1 POS		X X X E S	driven away/off/back; forced to resign (office); restrained by; passed (night);
11	abacti	abacti			ADJ	1 1 POS		X A X E O	stolen/rustled (of cattle);
12	abactor	abactor			N	3 1 M P		X A X E O	cattle thief, rustler; one who drives off;
13	abacul	abacul			N	2 1 M T		E T X F S	tessera/small cube of colored glass for ornamental pavements/wall mosaics;
14	abaestu	abaestu	abaestuav	abaestuat	V	1 1 INTRANS		D X X F S	wave down; hang down richly (poet.);
15	abagment	abagment			N	2 2 N T		D B X F S	means for obtaining abortion?;
16	abalien	abalien	abalienav	abalienat	V	1 1 TRANS		X X X B S	make alien; separate, abstract; alienate, estrange, make disaffected;
17	abalien	abalien	abalienav	abalienat	V	1 1 TRANS		X X X B O	|transfer (sale/contract); remove, take away, dispose of; numb/deaden;
18	abalienat	abalienat			ADJ	1 1 POS		X X X D O	unfriendly, estranged; dead/mortified (medical, of tissues);
19	abalienatio	abalienation			N	3 1 F T		X L X D O	transfer of property (legal), sale; cession; alienation;
20	abambul	abambul	abambulav	abambulat	V	1 1 INTRANS		X X X F O	go away;
21	abamit	abamit			N	1 1 F P		X X X E O	great-great-great aunt; (sister of abavus/gt-gt-grandfather); female ancestor;
22	abante				ADV	POS		X X X I O	in front (of); before;
23	abante				PREP	ABL		X X X E S	from before/in front of;
24	abarc	abarc	zzz	zzz	V	2 1 TRANS		X X X E O	keep away;
25	abascant	abascant			ADJ	1 1 POS		X X X F S	unenvied?;
26	abav	abav			N	2 1 M P		X X X C O	ancestor, forefather; great-great grandfather, grandfather's grandfather;
27	abavi	abavi			N	1 1 F P		X X X E O	ancestress; great-great grandmother;
28	abavuncul	abavuncul			N	2 1 M P		X X X E O	great-great-great-great uncle; remote ancestor;
29	abax	abac			N	3 1 M T		D X X F S	counting-board; side-board; slab table; panel; square stone on top of column;
30	Abba				N	9 9 M N		E E Q E E	Father; (Aramaic); bishop of Syriac/Coptic church; (false read obba/decanter);
31	abbas	abbat			N	3 1 M P		E E X C E	abbot; head of an ecclesiastical community; father; any respected monk (early);
32	abbati	abbati			N	1 1 F T		E E X C E	abbey, monastery;
33	abbatial	abbatial			ADJ	3 2 POS		E E X C E	of/pertaining to an abbot/abbey; abbey derived;
34	abbatiss	abbatiss			N	1 1 F P		E E X C E	abbess;
35	abbatiz	abbatiz	zzz	zzz	V	1 1 INTRANS		F E X F M	be abbot;
36	abbib	abbib	abbib	zzz	V	3 1 X		X X X D O	drink (in addition), take in by drinking; drink in, absorb, listen eagerly to;
37	abbit	abbit	zzz	zzz	V	3 1 INTRANS		X X X F O	approach, come/draw near;
38	abbrevi	abbrevi	abbreviav	abbreviat	V	1 1 TRANS		E X X C E	shorten, cut off; abbreviate, abstract; epitomize (Souter); break off; weaken;
39	abbreviat	abbreviat			ADJ	1 1 POS		E X X C W	abridged, shortened, cut off; straitened, contracted, narrowed; abbreviated;
40	abbreviatio	abbreviation			N	3 1 F T		E X X F S	abbreviation; diminution; epitome (Souter); shortening;
41	abbreviator	abbreviator			N	3 1 M P		E E X E E	summarizer; one who makes abstracts/epitomes from papal bulls;
42	abbrocament	abbrocament			N	2 2 N T		F X X E Q	abbrochment, forestalling market/fair (buying before fair then retailing OED);
43	abd	abd	abdid	abdit	V	3 1 TRANS		X X X A O	remove, put away, set aside; depart, go away; hide, keep secret, conceal;
44	abdic	abdic	abdicav	abdicat	V	1 1 TRANS		X L X B O	resign, abdicate; abolish; disinherit; renounce, reject, expel, disapprove of;
45	abdic	abdic	abdix	abdict	V	3 1 TRANS		X L X E O	be against, reject; withhold (someone's right); forbid by unfavorable omen;
46	abdicat	abdicat			N	2 1 M P		X X X F O	disowned/disinherited son;
47	abdicatio	abdication			N	3 1 F T		X L X D O	renunciation; disowning/disinheriting (son); resignation/abdication (office);
48	abdicativ	abdicativ			ADJ	1 1 POS		D X X E S	negative;
49	abdicative				ADV	POS		D X X E S	negatively;
50	abdicatrix	abdicatric			N	3 1 F P		D X X F S	renouncer (female); she who renounces/disclaims something;
51	abdit	abdit			N	2 2 N W		X X X C E	hidden/secret/out of the way place, lair, (in) secret;
52	abdit	abdit			ADJ	1 1 POS		X X X B O	hidden, secret, out of the way, remote, secluded; obscure/abstruse (meaning);
53	abdite				ADV	POS		X X X F S	secretly;
54	abditiv	abditiv			ADJ	1 1 POS		X X X F C	removed, separated (from);
55	abdomen	abdomin			N	3 2 N T		X B X C O	abdomen, paunch, lower part of the belly; gluttony; as indicative of obesity;
56	abdominal	abdominal			ADJ	3 2 POS		G B X E K	abdominal;
57	abduc	abduc	abdux	abduct	V	3 1 TRANS		X X X A O	lead away, carry off; detach, attract away, entice, seduce, charm; withdraw;
58	abductio	abduction			N	3 1 F T		D X X E S	abduction, forcible carrying off; robbing; retirement (Vulg. Eccli.);
59	abe	abi	abiv	abit	V	6 1 INTRANS		X X X A O	depart, go away; go off, go forth; pass away, die, disappear; be changed;
60	abecedari	abecedari			N	1 1 F T		D X X F S	elementary introduction; the ABC of the matter;
61	abecedari	abecedari			N	2 1 M P		D X X F S	one who learns the ABC's;
62	abecedari	abecedari			N	2 2 N T		E E X C E	alphabet;
63	abecedari	abecedari			ADJ	1 1 POS		D X X F S	alphabetical; belonging to the alphabet;
64	abecetuori	abecetuori			N	2 2 N T		E E X E E	act of tracing Greek and Hebrew alphabets on church floor while consecrating;
65	abellan	abellan			N	1 1 F T		X A X C O	filbert, hazel nut;
66	abellan	abellan			ADJ	1 1 POS		X A X C O	filbert/hazel (w/nut); of Abella (town in Campania noted for fruit/filberts);
67	abequit	abequit	abequitav	abequitat	V	1 1 INTRANS		X X X E O	ride away;
68	aberc	aberc	zzz	zzz	V	2 1 TRANS		X X X E O	keep away; forbid;
69	aberr	aberr	aberrav	aberrat	V	1 1 INTRANS		X X X B O	stray, wander, deviate; go/be/do wrong; be unfaithful; escape; disagree (with);
70	aberratio	aberration			N	3 1 F T		X X X E O	diversion, relief;
71	abfer	abfer	zzz	zzz	V	3 2 TRANS		X X X C O	bear, take away, remove, obtain, carry off/away, steal; (error for aufero);
72	abflu	abflu	abflux	zzz	V	3 1 INTRANS		X X X E O	flow/stream/issue (from); flow away; be abundant, abound (in w/ABL);
73	abfugi	abfug	abfug	zzz	V	3 1 X		X X X C O	flee (from), shun; run/fly away, escape; disappear/vanish (things);
74	abhib	abhib	zzz	zzz	V	2 1 TRANS		X X X E O	hold at a distance;
75	abhinc				ADV	POS		X X X C O	since, ago, in past; from this time, henceforth; from this place, hence;
76	abhorr	abhorr	abhorru	zzz	V	2 1 X		X X X A O	abhor, shrink back; be averse to, shudder at; differ from; be inconsistent;
77	abhorresc	abhorresc	abhorru	zzz	V	3 1 X		D E X F S	dread, become terrified; bristle up; begin to shake/tremble/shudder/shiver;
78	abhorrid	abhorrid			ADJ	1 1 POS		X X X F O	rough, unsightly;
79	abhorride				ADV	POS		D X X F S	roughly, improperly; in an unfit manner;
80	abic	abic	zzz	zzz	V	3 1 TRANS		E X X C N	humble; cast aside/away/off, reject;
81	abici	abic	abjec	abject	V	3 1 TRANS		X X X A O	throw/cast away/down/aside; abandon; slight; humble; debase; sell too cheaply;
82	abiegn	abiegn			ADJ	1 1 POS		X A X C O	made of fir, deal; wooden;
83	abiegne	abiegne			ADJ	1 1 POS		X A X E O	made of fir, deal;
84	abiegni	abiegni			ADJ	1 1 POS		X A X E O	made of fir, deal;
85	abies	abiet			N	3 1 F T		X A X B O	fir tree/wood; white/silver fir, spruce; thing of fir, ship, spear; sea weed;
86	abietari	abietari			N	2 1 M P		X A X E O	timber merchant; carpenter, joiner;
87	abietari	abietari			ADJ	1 1 POS		X A X E O	of/pertaining to/concerned with timber or fir/deal;
88	abig	abig			N	1 1 F T		D B X F S	plant which has the power of producing abortion;
89	abig	abig	abeg	abact	V	3 1 TRANS		X X X B O	drive/send away/off; expel, repel; steal, plunder (cattle), rustle; seduce;
90	abig	abig	abeg	abact	V	3 1 TRANS		D B X E S	|remove/cure (disease); drive away (an evil); force birth; procure abortion;
91	abig	abig	abig	abact	V	3 1 TRANS		E X X B W	drive/send away/off; expel, repel; steal, plunder (cattle), rustle; seduce;
92	abig	abig	abig	abact	V	3 1 TRANS		E B X E W	|remove/cure (disease); drive away (an evil); force birth; procure abortion;
93	abige	abige			N	2 1 M P		X A X E O	cattle stealer/thief, rustler;
94	abigeat	abigeat			N	4 1 M T		X A X E O	cattle stealing, rustling;
95	abigeator	abigeator			N	3 1 M P		D A X E S	cattle stealer/thief, rustler;
96	abinde				ADV	POS		X X X E O	from that source, thence;
97	abinvicem				ADV	POS		F X X E M	mutually; (usually as two words); from one another;
98	abit	abit			N	4 1 M T		X X X C O	departure, removal; going away; way out, exit, outlet, passage out, egress;
99	abit	abit	abitav	abitat	V	1 1 INTRANS		X X X F C	go away, depart;
100	abitio	abition			N	3 1 F T		X X X D O	departure; going away, departing;
101	abject	abject	abjectav	abjectat	V	1 1 TRANS		F X X C V	throw/cast away/down/aside; abandon; slight; humble; debase; sell too cheaply;
102	abject	abject	abjecti	abjectissi	ADJ	1 1 X		X X X B L	downcast, dejected; humble, low, common, mean; subservient; base, sordid, vile;
103	abjecte	abjectius	abjectissime		ADV	X		X X X C L	in spiritless manner; in humble circumstances, lowly; negligently; cowardly;
104	abjectio	abjection			N	3 1 F T		X X X E O	dejection; a casting down/out; outcast;
105	abjici	abjic	abjec	abject	V	3 1 TRANS		X X X A S	throw/cast away/down/aside; abandon; slight; humble; debase; sell too cheaply;
106	abjudic	abjudic	abjudicav	abjudicat	V	1 1 TRANS		X L X C O	deprive by judicial verdict; give judgment against; reject; deny an oath;
107	abjudicativ	abjudicativ			ADJ	1 1 POS		D S X F S	negative;
108	abjug	abjug	abjugav	abjugat	V	1 1 TRANS		X X X E S	separate (from), remove; loose from the yoke;
109	abjung	abjung	abjunx	abjunct	V	3 1 TRANS		X X X B O	unyoke, remove, separate; unharness; remove part, split; cut off from, detach;
110	abjur	abjur	abjurav	abjurat	V	1 1 TRANS		X L X C O	repudiate (obligation or duty); deny on oath (falsely); abjure; perjure;
111	abjuratio	abjuration			N	3 1 F T		E E X C E	abjuration, process where heretics/apostates/schismatics renounce their errors;
112	abjuratio	abjuration			N	3 1 F T		E L X C E	|forswearing, denial under oath; perjury;
113	abjurg	abjurg	abjurgav	abjurgat	V	1 1 TRANS		X L X E O	take away in settlement of a quarrel; deny/refuse reproachfully (L+S);
114	ablact	ablact	ablactav	ablactat	V	1 1 INTRANS		E X X C E	wean;
115	ablactatio	ablactation			N	3 1 F T		D E X E S	act/process of weaning a child;
116	ablacu	ablacu	ablacuav	ablacuat	V	1 1 X		X A X E O	loosen/weed the soil at the roots (of trees);
117	ablacu	ablacu	ablacuav	ablacuat	V	1 1 TRANS		X A X E O	loosen/weed the soil at the roots (of trees);
118	ablaque	ablaque	ablaqueav	ablaqueat	V	1 1 TRANS		X A X E O	loosen/weed the soil at the roots (of trees);
119	ablaqueatio	ablaqueation			N	3 1 F T		X A X E O	act/process of loosening/weeding soil at base/roots of a tree;
120	ablatio	ablation			N	3 1 F T		D E X E S	removal, taking away;
121	ablativ	ablativ			N	2 1 M T		X G X E O	ablative case (with or without casus) (gram.);
122	ablativ	ablativ			ADJ	1 1 POS		X G X E O	ablative (gram.);
123	ablator	ablator			N	3 1 M P		X X X E E	one who takes away/removes;
124	ableg	ableg	ablegav	ablegat	V	1 1 TRANS		X X X C O	send away/off (on a mission); banish, get rid of; remove/delete a word;
125	ablegatio	ablegation			N	3 1 F T		X X X E O	dispatch, sending away/off; dispatch on a duty;
126	ablepsi	ablepsi			N	1 1 F T		D B X F S	blindness;
127	abliguri	abligur	abliguriv	abligurit	V	3 4 TRANS		X X X E O	eat up (dainties); consume in dainty living; waste, squander; waste in feasting;
128	abligurri	abligurr	abligurriv	abligurrit	V	3 4 TRANS		X X X F L	eat up (dainties); consume in dainty living; waste, squander; waste in feasting;
129	abloc	abloc	ablocav	ablocat	V	1 1 TRANS		X X X E O	place a contract for (work), hire; let/lease/rent (house);
130	ablu	ablu	ablu	ablut	V	3 1 TRANS		X X X B O	wash away/off/out, blot out, purify, wash, cleanse; dispel (infection); quench;
131	ablud	ablud	zzz	zzz	V	3 1 INTRANS		X X X E O	differ from; fall short of; play out of tune;
132	ablutio	ablution			N	3 1 F T		E E X C E	washing, ablution; pouring on (mixture of water and wine) in the liturgy;
133	abluvi	abluvi			N	2 2 N T		X A X E O	flooding of rivers, inundation;
134	abluvio	abluvion			N	3 1 F T		X A X E O	erosion;
135	abmaterter	abmaterter			N	1 1 F P		X X X E O	great-great-great aunt (mother's side);
136	abnat	abnat	abnatav	abnatat	V	1 1 INTRANS		X X X E O	swim away from; swim off;
137	abneg	abneg	abnegav	abnegat	V	1 1 TRANS		X X X C O	deny; decline (to), refuse, reject; refuse to give, withhold (what is due);
138	abnegatio	abnegation			N	3 1 F T		E X X C E	denial;
139	abnegativ	abnegativ			ADJ	1 1 POS		E X X C E	negative;
140	abnegator	abnegator			N	3 1 M P		E X X C E	denier, one who denies;
141	abnepos	abnepot			N	3 1 M P		X X X C O	great-great grandson; indefinitely distant descendent;
142	abneptis	abnept			N	3 3 F P		X X X E O	great-great granddaughter; indefinitely distant female descendent;
143	abnoct	abnoct	abnoctav	abnoctat	V	1 1 INTRANS		X X X E O	spend the night out, stay away all night; spend the night away from Rome;
144	abnod	abnod	abnodav	abnodat	V	1 1 TRANS		D A X F S	cut off knots; clear trees of knots;
145	abnorm	abnorm			ADJ	3 2 POS		X S X E L	of/belonging to no school (of philosophy); deviating from the rule; irregular;
146	abnormal	abnormal			ADJ	3 2 POS		F X X E M	abnormal;
147	abnu	abnu	abnu	abnuit	V	3 1 X		X X X A O	refuse, decline; deny (guilt); refuse by a sign, shake head; reject; rule out;
148	abnu	abnu	zzz	zzz	V	2 1 X		B X X A O	refuse, decline; deny (guilt); refuse by a sign, shake head; reject; rule out;
149	abnuitio	abnuition			N	3 1 F T		D S X F S	negation;
150	abnumer	abnumer	abnumerav	abnumerat	V	1 1 TRANS		D S X F S	count up, reckon up;
151	abnut	abnut	abnutav	abnutat	V	1 1 INTRANS		B X X C L	deny/refuse/forbid (w/shake of head) repeatedly; forbid;
152	abnutiv	abnutiv			N	2 2 N T		D X X F S	refusal, denying;
153	abnutiv	abnutiv			ADJ	1 1 POS		X X X F O	negative;
154	abol	abol	abolev	abolit	V	2 1 TRANS		X X X B O	destroy, efface, obliterate; kill; banish, dispel; put end to. abolish, rescind;
155	abolefaci	abolefac	abolefec	abolefact	V	3 1 TRANS		D X X F S	destroy;
156	abolefi	abolef	zzz	abolefact	V	3 3 SEMIDEP		D X X F S	be destroyed; (abolefacio PASS);
157	abolesc	abolesc	abolev	zzz	V	3 1 INTRANS		X X X C O	decay gradually, shrivel, wilt; vanish, disappear; die out; fall into disuse;
158	abolitio	abolition			N	3 1 F T		X L X C O	cancellation, annulment (law); withdrawal (charge), amnesty; obliteration;
159	abolitor	abolitor			N	3 1 M P		D X X F S	one who takes away a thing; one who casts a thing into oblivion;
160	aboll	aboll			N	1 1 C T		X X X E L	cloak (thick wool, for soldiers/peasants), mantle; wearer of a cloak;
161	abomin	abomin	abominav	abominat	V	1 1 TRANS		B X X F S	avert; (seek to) avert (omen/eventuality) (by prayer); loathe, detest, abhor;
162	abomin	abomin	zzz	abominat	V	1 1 DEP		X X X C O	avert; (seek to) avert (omen/eventuality) (by prayer); loathe, detest, abhor;
163	abominabil	abominabil			ADJ	3 2 POS		E X X C E	detestable, hateful, abominable; worthy of destruction;
164	abominament	abominament			N	2 2 N T		D X X F S	abomination, detestable thing;
165	abominand	abominand			ADJ	1 1 POS		X X X C O	ill-omened, of evil omen; detestable, odious; execrable, abominable;
166	abominanter				ADV	POS		D X X F S	abominably, detestably;
167	abominat	abominat			ADJ	1 1 POS		X X X E S	abominated/detested; accursed;
168	abominatio	abomination			N	3 1 F T		E X X C E	aversion, detestation, loathing;
169	abominos	abominos			ADJ	1 1 POS		D X X F S	full of ill omens, portentous;
170	abori	abor	zzz	abort	V	3 4 DEP		X X X C O	pass away, disappear, be lost; miscarry, be aborted; set (sun/planet/star);
171	aborigine	aborigine			ADJ	1 1 POS		X X X F O	aboriginal; (pertaining to) pre-Roman Italy/original founders of a city;
172	aborisc	aborisc	zzz	zzz	V	3 1 INTRANS		X X X F O	pass/fade away, disappear, be lost;
173	abors	abors			ADJ	1 1 POS		D B X E S	miscarriage; abortion; that which has been brought forth prematurely;
174	abort	abort			N	2 2 N T		D B X E S	miscarriage; premature/untimely birth; abortion; dead fetus; getting abortion;
175	abort	abort			N	4 1 M T		X B X C O	miscarriage; premature/untimely birth; abortion; dead fetus; getting abortion;
176	abort	abort	abortav	abortat	V	1 1 INTRANS		X A X F O	cast its young (beast) (give birth prematurely);
177	aborti	abort	zzz	zzz	V	3 4 INTRANS		D B X F S	miscarry;
178	aborti	aborti			N	2 2 N T		D E X F S	abortion; miscarriage;
179	abortio	abortion			N	3 1 F T		X B X D O	abortion, miscarriage; premature delivery; procuring an abortion;
180	abortiv	abortiv			N	2 1 M P		X B X C O	one prematurely born; one addled;
181	abortiv	abortiv			N	2 2 N T		X B X E L	abortifacient, that which caused abortion; contraceptive; premature birth;
182	abortiv	abortiv			N	2 2 N T		X B X E S	|abortion; miscarriage; means of procuring an abortion;
183	abortiv	abortiv			ADJ	1 1 POS		X B X C O	abortive; abortificient; contraceptive; addled; prematurely born;
184	abpatru	abpatru			N	2 1 M P		X X X F O	great-great-great uncle (father's side);
185	abr	abr			N	1 1 F P		E X X C E	maid;
186	abrad	abrad	abras	abras	V	3 1 TRANS		X X X C O	"scratch/scrape/rub/wipe (off), shave; erase; wash/erode away; ""knock off"", rob;"
187	abrelict	abrelict			ADJ	1 1 POS		D X X F S	deserted, abandoned;
188	abrenunciatio	abrenunciation			N	3 1 F T		E X X C E	repudiation, renunciation, renouncing;
189	abrenunti	abrenunti	abrenuntiav	abrenuntiat	V	1 1 TRANS		E X X C E	renounce, repudiate (strongly);
190	abripi	abrip	abripu	abrept	V	3 1 TRANS		X X X B O	drag/snatch/carry/remove away by force; wash/blow away (storm); abduct, kidnap;
191	abrod	abrod	abros	abros	V	3 1 TRANS		X X X E O	gnaw off/away;
192	abrodiaet	abrodiaet			N	2 1 M P		C X X F S	living delicately, epithet of the painter Parrhasius;
193	abrog	abrog	abrogav	abrogat	V	1 1 TRANS		X L X B O	abolish; repeal wholly, annul; remove, take away;
194	abrogatio	abrogation			N	3 1 F T		X L X E O	repeal of a law; disregard, ignore, repudiate; cancel, rescind, revoke (honor);
195	abroton	abroton			N	2 1 M T		X A X F S	aromatic plant, southern-wood (medicine);
196	abroton	abroton			N	2 2 N T		X A X F L	aromatic plant, southern-wood (medicine);
197	abrotonit	abrotonit			N	1 7 M T		D A X F S	wine prepared with the aromatic plant, southern-wood;
198	abrump	abrump	abrup	abrupt	V	3 1 TRANS		X X X A O	break (bonds); break off; tear asunder; cut through, sever; remove, separate;
199	abrupt	abrupt			N	2 2 N T		D X X E S	steep ascent/decent; rough dangerous ways (pl.);
200	abrupt	abrupt	abrupti	abruptissi	ADJ	1 1 X		X X X B O	precipitous, steep; hasty; rash; uncompromising, haughty, aloof; abrupt, sudden;
201	abrupt	abrupt	abrupti	abruptissi	ADJ	1 1 X		D X X E S	|broken, disconnected, abrupt; stubborn;
202	abrupte				ADV	POS		X X X F O	abruptly, suddenly; precipitously, steeply; hastily; rashly; here and there;
203	abruptio	abruption			N	3 1 F T		X X X E O	breaking, breaking off; separation, divorce;
204	abs				PREP	ABL		X X X A O	by (agent), from (departure, cause, remote origin (time); after (reference);
205	abs	ab	abfu	abfut	V	5 1 TO_BEING		X X X D S	be away/absent/distant/missing; be free/removed from; be lacking; be distinct;
206	abs	ab	afu	afut	V	5 1 TO_BEING		X X X A O	be away/absent/distant/missing; be free/removed from; be lacking; be distinct;
207	abs	abs			N	2 1 M T		X X X E O	wad (of wool);
208	absced	absced	abscess	abscess	V	3 1 INTRANS		X X X A O	withdraw, depart, retire; go/pass off/away; desist; recede (coasts); slough;
209	abscess	abscess			N	4 1 M T		X X X C O	going away, departure, withdrawal, absence; remoteness; abscess; death;
210	abscid	abscid	abscid	abscis	V	3 1 TRANS		X X X B O	hew/cut off/away/out; fell/cut down; remove, separate/cut off/destroy, divide;
211	abscid	abscid	abscid	abscis	V	3 1 TRANS		X X X B O	|take away violently; expel/banish; destroy (hope); amputate; prune; cut short;
212	abscind	abscind	abscid	absciss	V	3 1 TRANS		X X X B O	tear (away/off) (clothing); cut off/away/short; part, break, divide, separate;
213	abscis	abscis	abscisi	abscisissi	ADJ	1 1 X		X X X C O	steep, sheer, precipitous; abrupt, curt, brusque; restricted; cut off, severed;
214	abscise				ADV	POS		X X X E O	abruptly, brusquely, curtly; shortly, concisely, distinctly;
215	abscisio	abscision			N	3 1 F T		X G X E O	loss of voice; aposiopesis (rhetoric, breaking off emotionally), interruption;
216	abscissio	abscission			N	3 1 F T		X G X F S	loss of voice; aposiopesis (rhetoric, breaking off emotionally), interruption;
217	abscond	abscond	abscond	abscondit	V	3 1 X		X X X B O	"hide, conceal, secrete, ""shelter""; leave behind; bury, engulf, swallow up; keep;"
218	abscond	abscond	abscondid	abscondit	V	3 1 X		X X X D X	"hide, conceal, secrete, ""shelter""; leave behind; bury, engulf, swallow up; keep;"
219	abscond	abscond	abscondu	abscondit	V	2 1 X		E X X E W	"hide, conceal, secrete, ""shelter""; leave behind; bury, engulf, swallow up; keep;"
220	abscondit	abscondit			N	2 2 N T		X X X C E	hidden/secret/concealed place/thing; secret;
221	abscondit	abscondit			ADJ	1 1 POS		X X X A O	hidden, secret, concealed; covert, disguised; abstruse, recondite;
222	abscondite				ADV	POS		X X X E O	abstrusely; profoundly; secretly;
223	abscons	abscons			ADJ	1 1 POS		E X X C E	hidden, secret, concealed, unknown;
224	absconse				ADV	POS		X X X E O	secretly;
225	absconsio	absconsion			N	3 1 F W		E X X C E	shelter;
226	absegmen	absegmin			N	3 2 N T		X X X F O	piece/slice/hunk of meat, collop; morsel, portion, lump, mouthful, gobbet;
227	absens	absent			ADJ	3 1 POS		X X X B O	absent, missing, away, gone; physically elsewhere (things), non-existent;
228	absent	absent	absentav	absentat	V	1 1 TRANS		X X X E S	send away, cause one to be absent; be absent;
229	absenthi	absenthi			N	2 2 N T		X X X E O	wormwood; absinthe, infusion/tincture of wormwood (often mixed with honey);
230	absenti	absenti			N	1 1 F T		X X X C O	absence; absence form Rome/duty; non-appearance in court; lack;
231	absentio	absention			N	3 1 F T		D X X F S	holding back, restraining;
232	absentiv	absentiv			ADJ	1 1 POS		X X X F S	long absent;
233	absid	absid			N	1 1 F T		X S X C S	arc, arc described by a planet; segment of a circle; kind of round vessel/bowl;
234	absid	absid			N	1 1 F T		F E X D E	|apse, apsis; (arched/domed part of building, at end of choir/nave of church);
235	absidat	absidat			ADJ	1 1 POS		D T X E S	arched; vaulted; having arch/arches;
236	absidiale	absidial			N	3 4 N T		F E X E E	smaller apse (flanking larger one); (arched/domed part of church);
237	absidiol	absidiol			N	1 1 F T		F E X F E	smaller apse (flanking larger one); (arched/domed part of church);
238	absili	absil	zzz	zzz	V	3 4 INTRANS		X X X D O	rush/fly away (from); burst/fly apart;
239	absimil	absimil			ADJ	3 2 POS		X X X C O	unlike, dissimilar;
240	absinthi	absinthi			N	2 1 M T		X A X F O	wormwood, absinthe, infusion/tincture of wormwood (often mixed with honey);
241	absinthi	absinthi			N	2 2 N T		X X X E O	wormwood, absinthe, infusion/tincture of wormwood (often mixed with honey);
242	absinthi	absinthi			N	2 4 N T		X A X C O	wormwood, absinthe, infusion/tincture of wormwood (often mixed with honey);
243	absinthi	absinthi			ADJ	1 1 POS		X A X F S	containing wormwood (e.g., wine); (often mixed with honey to mask taste);
244	absinthit	absinthit			N	1 7 M T		X A X E O	wine flavored with wormwood; absinthe;
245	absis	absid			N	3 1 F T		X S X C O	arc described by a planet; arc, segment of a circle; kind of round vessel/bowl;
246	absist	absist			ADJ	1 1 POS		D X X F S	distant, lying away;
247	absist	absist	absistit	zzz	V	3 1 INTRANS		X X X C O	withdraw from; desist, cease; leave off; depart, go away from; stand back;
248	absit				INTERJ			E E X C E	"god forbid, ""let it be far from the hearts of the faithful"";"
249	absocer	absocer			N	2 3 M P		D X X F S	great-great grandfather of the husband or wife (in-law);
250	absolut	absolut			ADJ	1 1 POS		G X X E K	absolute;
251	absolut	absolut	absoluti	absolutissi	ADJ	1 1 X		X X X B O	fluent; fully developed, complete, finished; perfect, pure; unconditional;
252	absolute	absolutius	absolutissime		ADV	X		X X X C O	completely, absolutely; perfectly; without qualification, simply, unreservedly;
253	absolutio	absolution			N	3 1 F T		X X X C O	finishing, completion; acquittal, release (obligat.); perfection; completeness;
254	absolutism	absolutism			N	2 1 M T		G X X E K	absolutism;
255	absolutori	absolutori			N	2 2 N T		X X X F S	means of deliverance from;
256	absolutori	absolutori			ADJ	1 1 POS		X X X C O	favoring/securing acquittal; pertaining to acquittal/release; effecting a cure;
257	absolv	absolv	absolv	absolut	V	3 1 TRANS		X L X A O	free (bonds), release; acquit; vote for/secure acquittal; pay off; sum up;
258	abson	abson			ADJ	1 1 POS		X X X C O	harsh/discordant/inharmonious; jarring; inconsistent; unsuitable, in bad taste;
259	abson	abson	absonav	absonat	V	1 1 INTRANS		X X X F O	have harsh/discordant/unpleasant sound;
260	absone				ADV	POS		X X X E O	harshly, discordantly;
261	absoni	absoni			N	1 1 F T		F D X E Z	harshness; discordance;
262	absorb	absorb	absorbu	absorpt	V	2 1 TRANS		X X X C O	devour; swallow up; engulf, submerge; engross; absorb, suck in; import; dry up;
263	absorb	absorb	absorps	absorpt	V	2 1 TRANS		X X X D X	devour; overwhelm; swallow up/engulf, submerge; absorb, suck in; import; dry up;
264	absorptio	absorption			N	3 1 F T		X X X F S	drink, beverage; swallowing (Latham);
265	absort	absort			ADJ	1 1 POS		E X X D P	overwhelmed, swallowed up/engulfed/submerged/absorbed; (= absorptus); engulfing;
266	absortio	absortion			N	3 1 F T		E W X E P	victory, overwhelming;
267	absque				PREP	ABL		X X X C O	without, apart from, away from; but for; except for; were it not for; (early);
268	abst	abst	abstet	abstat	V	1 1 X		X X X C O	stand at a distance, stand off; keep at a distance;
269	abstanti	abstanti			N	1 1 F T		X X X F O	distance;
270	abstemi	abstemi			N	1 1 F T		X X X E O	distance;
271	abstemi	abstemi			ADJ	1 1 POS		X X X C O	abstemious, abstaining from drink; sober, temperate; moderate; fasting; saving;
272	absterg	absterg	absters	absters	V	2 1 TRANS		X X X C O	wipe off/clean/away, clean away, cleanse, strip off; banish, expel, dispel;
273	absterg	absterg	absters	absters	V	3 1 TRANS		X X X C O	wipe off/clean/away, clean away, cleanse, strip off; banish, expel, dispel;
