id	word	other-1	other-2	other-3	pos	morphology	number	code	definitions
23104	inbecill	inbecill	inbecilli	inbecillissi	ADJ	1 1 X		X X X A O	weak/feeble; delicate (plant); fragile; ineffective; lacking in power/resources;
23105	inbecill	inbecill	inbecilli	inbecillissi	ADJ	3 2 X		X X X A O	weak/feeble; delicate (plant); fragile; ineffective; lacking in power/resources;
23106	inbecillitas	inbecillitat			N	3 1 F T		X X X D X	weakness, feebleness; moral/intellectual weakness;
23107	inbell	inbell			ADJ	3 2 POS		X X X D X	unwarlike, peaceful, unfit for war;
23108	inbib	inbib	inbib	inbit	V	3 1 TRANS		X X X C O	drink in, imbibe; assimilate; absorb into one's mind, conceive;
23109	inbit	inbit	zzz	zzz	V	3 1 TRANS		X X X F O	enter;; go into;
23110	incaedu	incaedu			ADJ	1 1 POS		X X X D X	not felled, not cut down (of woods);
23111	incalesc	incalesc	incalu	zzz	V	3 1 X		X X X D X	grow hot; become heated;
23112	incallid	incallid			ADJ	1 1 POS		X X X D X	not shrewd, simple;
23113	incan	incan			ADJ	1 1 POS		X X X D X	quite gray, hoary;
23114	incandesc	incandesc	incandu	zzz	V	3 1 X		X X X D X	grow warm, be heated, glow, become red-hot;
23115	incanesc	incanesc	incanu	zzz	V	3 1 X		X X X D X	turn gray or hoary;
23116	incant	incant	incantav	incantat	V	1 1 X		X X X D S	sing; say over; consecrate with spells;
23117	incantamen	incantamin			N	3 2 N T		F E X F L	charm;
23118	incantament	incantament			N	2 2 N T		X D X D S	charm; spell;
23119	incantatio	incantation			N	3 1 F T		D E X C S	enchantment; spell; incantation (Def); (false) statement (Souter);
23120	incantator	incantator			N	3 1 M P		D E X E S	enchanter, wizard; magician, soothsayer (Souter);
23121	incantatrix	incantatric			N	3 1 F P		F E X E L	enchantress; witch;
23122	incapabil	incapabil			ADJ	3 2 POS		E E X E S	incomprehensible; that cannot be taken in (Latham);
23123	incapabilitas	incapabilitat			N	3 1 F T		E E X E S	incomprehensibility; inconceivability;
23124	incapacit	incapacit	incapacitav	incapacitat	V	1 1 TRANS		X X X F O	bridle; put a halter on; halter, muzzle (L+S); fetter, entangle; make ass of;
23125	incapacitas	incapacitat			N	3 1 F T		F X X E M	incapacity; disqualification;
23126	incapax	incapax			ADJ	3 1 POS		D X X E S	incapable; indestructible; indissoluble;
23127	incapiabil	incapiabil			ADJ	3 2 POS		F X X E M	impregnable;
23128	incar	incar	incarav	incarat	V	1 1 TRANS		E E X F E	make incarnate, make into flesh; (PASS) be made flesh, become incarnate;
23129	incarcer	incarcer	incarcerav	incarcerat	V	1 1 TRANS		F X X D F	imprison, incarcerate, confine, shut up in prison, jail;
23130	incarcerat	incarcerat			N	2 1 M P		F X X E M	prisoner;
23131	incarcerat	incarcerat			ADJ	1 1 POS		F X X E F	imprisoned, incarcerated, confined, shut up in prison, jailed;
23132	incarceratio	incarceration			ADJ	1 1 POS		F X X E M	incarceration; imprisonment; shutting up in prison, jailing;
23133	incardin	incardin	incardinav	incardinat	V	1 1 TRANS		F E X E E	incardinate; become member of diocese (clergy); raise to cardinal;
23134	incardinat	incardinat			N	2 1 M P		F E X F Q	incardinatus, one (clergy) who has right to succeed to a church;
23135	incardinatio	incardination			N	3 1 F T		F E X F E	incardination; incorporating clergyman into diocese/church; raise to cardinal;
23136	incarn	incarn	incarnav	incarnat	V	1 1 TRANS		E E X C S	make incarnate, make into flesh; (PASS) be made flesh, become incarnate;
23137	incarnat	incarnat			ADJ	1 1 POS		D E X C E	incarnate; flesh-like/flesh-colored (Cal);
23138	incarnatio	incarnation			N	3 1 F T		D E X C F	incarnation, embodiment; union of divine and human in Christ;
23139	incassum				ADV	POS		X X X C S	in vain; uselessly; without aim/purpose/effect; to no purpose;
23140	incastigat	incastigat			ADJ	1 1 POS		X X X E C	unchastised;
23141	incaut	incaut			ADJ	1 1 POS		X X X E S	incautious; unexpected;
23142	incaut	incaut	incauti	incautissi	ADJ	1 1 X		X X X D X	incautious, off one's guard, unprotected;
23143	inced	inced	incess	incess	V	3 1 X		X X X B X	advance, march; approach; step, walk, march along;
23144	inceleber	incelebr			ADJ	3 3 POS		D X X E S	not celebrated; not famous;
23145	incelebrat	incelebrat			ADJ	1 1 POS		X X X D X	unrecorded;
23146	incenat	incenat			ADJ	1 1 POS		X X X E O	without dinner, dinerless; not having dined; without having supped (Erasmus);
23147	incend	incend	incend	incens	V	3 1 TRANS		X X X A O	set on fire; set fire to, kindle, burn; cause to flame/burn; keep fire burning;
23148	incend	incend	incend	incens	V	3 1 TRANS		X X X A O	|scorch; make fiery hot (fever/thirst); light up; cause to glow; intensify;
23149	incend	incend	incend	incens	V	3 1 TRANS		X X X A O	||inspire, fire, rouse, excite, inflame; provoke, incense, aggravate;
23150	incendi	incendi			N	2 4 N T		X X X B O	fire, conflagration; fiery heat; fiery passion/love/hostility; arson (Latham);
23151	incendi	incendi			N	2 4 N T		X X X B O	|incendiary missile; meteor; P:flames (pl.); [annonae ~ => high price of grain];
23152	incendiari	incendiari			N	2 1 M P		X X X E O	arsonist; fire-raiser; incendiary;
23153	incendiari	incendiari			ADJ	1 1 POS		X X X N S	fire-, fire-raising, incendiary; [~ avis => firebird];
23154	incens	incens			N	2 2 N T		E E X D P	incense; sacrifice (w/incense/burning victims); lighting (L+S); setting fire;
23155	incens	incens			N	4 1 M T		E E X E P	incense; fire;
23156	incens	incens			ADJ	1 1 POS		X L X E O	unassessed, not assessed; unregistered, not registered/enrolled in census;
23157	incens	incens	incensav	incensat	V	1 1 INTRANS		E X X E P	burn incense;
23158	incens	incens	incensi	incensissi	ADJ	1 1 X		X X X E O	ardent, impassioned; radiant, glowing; inflamed, fiery, burning, hot (L+S);
23159	incensari	incensari			N	2 2 N T		E E X D E	censer, vessel in which incense is burnt; thurible;
23160	incensatio	incensation			N	3 1 F T		E E X F S	instrument playing; X:enchantment; E:incensing, perfuming with incense (Ecc);
23161	incensio	incension			N	3 1 F T		X X X E O	firing, burning, igniting, act of setting on fire;
23162	incensit	incensit			ADJ	1 1 POS		D L X F S	unassessed, not assessed; unregistered, not registered/enrolled in census;
23163	incensor	incensor			N	3 1 M P		X X X E O	one who kindles/sets fire to/lights beacons (L+S); inciter, instigator;
23164	incensori	incensori			N	2 2 N T		E E X D E	censer, vessel in which incense is burnt; thurible;
23165	incentio	incention			N	3 1 F T		E D X F S	instrument playing; X:enchantment;
23166	incentiv	incentiv			ADJ	1 1 POS		X D X F O	playing the tune; (of the right-hand tube in pair of pipes - other modulates);
23167	incentor	incentor			N	3 1 M P		X X X C S	precentor/choir director; leads congregation singing; starts/sets tune; inciter;
23168	inceps				ADV	POS		X X X F O	subsequently; thereafter;
23169	incept	incept			N	2 2 N T		X X X D X	beginning, undertaking;
23170	incept	incept	inceptav	inceptat	V	1 1 X		X X X D S	begin; undertake; attempt;
23171	inceptio	inception			N	3 1 F T		X X X D O	start, beginning; undertaking, enterprise;
23172	incer	incer	incerav	incerat	V	1 1 TRANS		X X X E S	smear over; E:attach wax tablet to;
23173	incern	incern	zzz	zzz	V	3 1 TRANS		X X X E S	sift; scatter with sieve;
23174	incert	incert			ADJ	1 1 POS		X X X A X	uncertain; unsure, inconstant, variable; doubtful;
23175	incert	incert	incertav	incertat	V	1 1 TRANS		X X X E S	render uncertain;
23176	incess	incess			N	4 1 M T		X X X D X	walking; advance; procession;
23177	incess	incess	incesiv	incess	V	3 1 X		X X X D X	assault, attack; reproach, abuse;
23178	incessabil	incessabil			ADJ	3 2 POS		D X X E S	incessant, unceasing;
23179	incessanter				ADV	POS		D X X E S	incessantly, unceasingly;
23180	incest	incest			ADJ	1 1 POS		X X X D X	unchaste; unholy, unclean, religiously impure, polluted, defiled, sinful, lewd;
23181	incest	incest	incestav	incestat	V	1 1 X		X X X D X	pollute, defile;
23182	incestuos	incestuos			ADJ	1 1 POS		X S X E S	incestuous; lewd;
23183	incestuose				ADV	POS		F X X F M	incestuously; lewdly;
23184	incho	incho	inchoav	inchoat	V	1 1 X		X X X A O	begin/start (work); set going, establish; draft/sketch/outline; enter upon;
23185	inchoament	inchoament			N	2 2 N T		X X X E S	starting place; first principles (pl.); rudiments; elements;
23186	incid	incid	incid	incas	V	3 1 X		X X X B X	happen; fall into, fall in with, meet; fall upon, assail;
23187	incid	incid	incid	incis	V	3 1 X		X X X B X	|cut into, cut open; inscribe, engrave inscription; break off;
23188	incidens	incident			ADJ	3 1 POS		F X X D E	incidental;
23189	incidental	incidental			ADJ	3 2 POS		F X X E M	incidental, secondary;
23190	incidentaliter				ADV	POS		F X X F M	incidental;
23191	incidenter				ADV	POS		F X X E E	incidentally;
23192	incidenti	incidenti			N	1 1 F T		F S X D M	incident/occurrence/happening; incidence (light ray); appurtenance;
23193	incidenti	incidenti			N	2 2 N T		F S X D M	incidents/occurrences (pl.); remarks/observations; matters involved;
23194	inciens	incient			ADJ	3 1 POS		X X X E S	pregnant; with young;
23195	incil	incil			ADJ	3 2 POS		X X X E C	ditch, trench;
23196	incil	incil	incilav	incilat	V	1 1 X		X X X E C	blame, scold;
23197	incin	incin	zzz	zzz	V	3 1 X		X X X E C	sing;
23198	inciner	inciner	incinerav	incinerat	V	1 1 X		F X X F M	burn to ashes;
23199	incineratio	incineration			N	3 1 F T		G X X E K	incineration;
23200	incing	incing	incinx	incinct	V	3 1 X		X X X D X	gird (with); wrap (tightly) round (with);
23201	incipi	incip	incep	incept	V	3 1 X		X X X A X	begin; start, undertake;
23202	incipiss	incipiss	zzz	zzz	V	3 1 X		B X X E S	begin; (archaic form of incipio);
23203	incircum				ADV	POS		X X X F S	round about; (L+S calls it PREP);
23204	incircumcis	incircumcis			N	2 1 M P		E E X E P	uncircumcised male, one w/foreskin intact; (still) a sinner;
23205	incircumcis	incircumcis			ADJ	1 1 POS		E E X D S	uncircumcised; w/foreskin intact (Souter); uncorrected/uncleansed; sinning;
23206	incircumcisio	incircumcision			N	3 1 F T		E E X F P	absence of circumcision;
23207	incircumscript	incircumscript			ADJ	1 1 POS		F S X D F	infinite, boundless; uncircumscribed; incomprehensible, unfathomable;
23208	incircumscripte				ADV	POS		F X X F F	without limitation; infinitely; incomprehensibly;
23209	incircumscriptibil incircumscriptibil				ADJ	3 2 POS		F S X E F	boundless/infinite; incapable of being limited/circumscribed/measured/deceived;
23210	incisim				ADV	POS		X X X E C	in short clauses;
23211	incisio	incision			N	3 1 F T		X X X E X	clause (Collins);
23212	incit	incit			ADJ	1 1 POS		X X X D X	rushing, headlong;
23213	incit	incit	incitav	incitat	V	1 1 X		X X X D X	enrage; urge on; inspire; arouse;
23214	incitament	incitament			N	2 2 N T		X X X D X	incentive, stimulus;
23215	incitat	incitat			ADJ	1 1 POS		X X X D X	fast-moving, aroused, passionate; [equo incitato => at full gallop];
23216	incitatio	incitation			N	3 1 F T		X X X D X	ardor, enthusiasm;
23217	incitatr	incitatr			N	2 2 N T		G T X E K	starter;
